drugname,pt,A,drug_total,reaction_total,B,C,D,PRR,ROR
AUVI-Q,NO DEVICE MALFUNCTION,3,16,3,13,0,431916,inf,191962.6667
BEVACIZUMAB,LARYNGEAL NECROSIS,4,730,4,726,0,431202,inf,4748.267
MONOFERRIC,FISHBANE REACTION,3,46,3,43,0,431886,inf,59570.4828
MORPHINE SULFATE,INFANT SEDATION,3,228,3,225,0,431704,inf,11486.5809
MYCOPHENOLATE MOFETIL,SEROCONVERSION TEST NEGATIVE,3,1039,3,1036,0,430893,inf,2494.3155
CARBIDOPA\LEVODOPA,STOMA SITE EXTRAVASATION,11,1324,11,1313,0,430608,inf,7212.3152
CARBOPLATIN,RENAL ARTERIOSCLEROSIS,3,1197,3,1194,0,430735,inf,2163.5915
ZOLEDRONIC ACID,CAVERNOUS SINUS SYNDROME,3,228,3,225,0,431704,inf,11486.5809
CIPROFLOXACIN,RIGHT VENTRICLE OUTFLOW TRACT OBSTRUCTION,4,687,4,683,0,431245,inf,5047.4909
BLINCYTO,BURKITT'S LYMPHOMA RECURRENT,8,234,8,226,0,431698,inf,30495.223
OZEMPIC,FLOPPY IRIS SYNDROME,3,2126,3,2123,0,429806,inf,1214.4271
PARAGARD T 380A,FOREIGN BODY IN REPRODUCTIVE TRACT,641,3591,641,2950,0,428341,inf,186115.2896
METHOTREXATE,SKIN DYSTROPHY,4,2625,4,2621,0,429307,inf,1310.111
PARAGARD T 380A,REPRODUCTIVE COMPLICATION ASSOCIATED WITH DEVICE,136,3591,136,3455,0,428341,inf,33716.9012
METFORMIN HYDROCHLORIDE,CONGENITAL PULMONARY VALVE ATRESIA,3,360,3,357,0,431572,inf,7243.1664
METHOTREXATE,DISORDER OF ORBIT,3,2625,3,2622,0,429307,inf,982.2086
METHOTREXATE,DISSEMINATED SPOROTRICHOSIS,4,2625,4,2621,0,429307,inf,1310.111
METHOTREXATE,NEOSCYTALIDIUM INFECTION,7,2625,7,2618,0,429307,inf,2295.321
METHOTREXATE,PULMONARY PHYSICAL EXAMINATION ABNORMAL,3,2625,3,2622,0,429307,inf,982.2086
METHOTREXATE,RHEUMATOID FACTOR QUANTITATIVE INCREASED,3,2625,3,2622,0,429307,inf,982.2086
LATISSE,SCLERAL PIGMENTATION,3,223,3,220,0,431709,inf,11747.1837
METHOTREXATE,URINE ALBUMIN/CREATININE RATIO DECREASED,3,2625,3,2622,0,429307,inf,982.2086
METRONIDAZOLE,MITOCHONDRIAL ENCEPHALOMYOPATHY,3,180,3,177,0,431752,inf,14594.4338
LATISSE,IRIS HYPERPIGMENTATION,3,223,3,220,0,431709,inf,11747.1837
TEGSEDI,URINARY CASTS PRESENT,3,34,3,31,0,431898,inf,82266.2857
TAPINAROF,APPLICATION SITE FOLLICULITIS,9,191,9,182,0,431741,inf,42582.674
LEVETIRACETAM,PYRUVATE KINASE DEFICIENCY ANAEMIA,3,958,3,955,0,430974,inf,2706.2732
CABOMETYX,THYROGLOBULIN INCREASED,3,4148,3,4145,0,427784,inf,619.1543
BOTOX COSMETIC,ENCAPSULATION REACTION,3,1959,3,1956,0,429973,inf,1318.5985
TRASTUZUMAB,CELL-MEDIATED CYTOTOXICITY,3,555,3,552,0,431377,inf,4684.6371
LEVOFLOXACIN,ANAL CANDIDIASIS,3,420,3,417,0,431512,inf,6201.3701
LUPKYNIS,ABSENCE OF IMMEDIATE TREATMENT RESPONSE,11,777,11,766,0,431155,inf,12374.9641
